rowid,yearstart,yearend,locationabbr,locationdesc,datasource,class,topic,question,data_value_unit,datavaluetypeid,data_value_type,data_value_footnote_symbol,data_value_footnote,stratificationcategory1,stratification1,stratificationcategory2,stratification2,geolocation,classid,topicid,questionid,locationid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,data_value,data_value_alt,low_confidence_limit,high_confidence_limit
BRFSS~2019~2022~9003~Q41~TCC03~AGE~RACE,2019,2022,SOU,South,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,,C06,TCC03,Q41,9003,AGE,5064,RACE,NAA,58.0,58.0,43.4,71.3
BRFSS~2019~2019~42~Q31~TCC02~AGE~OVERALL,2019,2019,PA,Pennsylvania,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,50-64 years,,,"{'type': 'Point', 'coordinates': [-77.86070029399963, 40.79373015200048]}",C06,TCC02,Q31,42,AGE,5064,OVERALL,OVERALL,42.0,42.0,33.1,51.5
BRFSS~2019~2022~48~Q42~TCC04~AGE~RACE,2019,2022,TX,Texas,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-99.42677020599967, 31.827240407000488]}",C06,TCC04,Q42,48,AGE,65PLUS,RACE,WHT,39.0,39.0,32.1,46.3
BRFSS~2019~2019~59~Q31~TCC02~AGE~RACE,2019,2019,US,"United States, DC & Territories",BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,#,Fewer than 50 States reporting,Age Group,50-64 years,Race/Ethnicity,Hispanic,,C06,TCC02,Q31,59,AGE,5064,RACE,HIS,67.4,67.4,57.4,76.0
BRFSS~2019~2022~53~Q30~TCC01~AGE~RACE,2019,2022,WA,Washington,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,"{'type': 'Point', 'coordinates': [-120.47001078999972, 47.52227862900048]}",C06,TCC01,Q30,53,AGE,5064,RACE,ASN,,,,
BRFSS~2019~2019~59~Q30~TCC01~AGE~RACE,2019,2019,US,"United States, DC & Territories",BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,#,Fewer than 50 States reporting,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,C06,TCC01,Q30,59,AGE,AGE_OVERALL,RACE,ASN,9.1,9.1,5.9,13.7
BRFSS~2019~2022~53~Q41~TCC03~AGE~RACE,2019,2022,WA,Washington,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-120.47001078999972, 47.52227862900048]}",C06,TCC03,Q41,53,AGE,65PLUS,RACE,NAA,,,,
BRFSS~2019~2022~53~Q30~TCC01~AGE~RACE,2019,2022,WA,Washington,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-120.47001078999972, 47.52227862900048]}",C06,TCC01,Q30,53,AGE,65PLUS,RACE,HIS,,,,
BRFSS~2019~2019~9003~Q42~TCC04~AGE~RACE,2019,2019,SOU,South,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,65 years or older,Race/Ethnicity,Hispanic,,C06,TCC04,Q42,9003,AGE,65PLUS,RACE,HIS,26.2,26.2,17.3,37.6
BRFSS~2019~2022~72~Q41~TCC03~AGE~SEX,2019,2022,PR,Puerto Rico,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Sex,Male,"{'type': 'Point', 'coordinates': [-66.590149, 18.220833]}",C06,TCC03,Q41,72,AGE,5064,SEX,MALE,,,,
BRFSS~2019~2022~48~Q30~TCC01~AGE~SEX,2019,2022,TX,Texas,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,Overall,Sex,Male,"{'type': 'Point', 'coordinates': [-99.42677020599967, 31.827240407000488]}",C06,TCC01,Q30,48,AGE,AGE_OVERALL,SEX,MALE,11.3,11.3,9.9,13.0
BRFSS~2019~2019~45~Q41~TCC03~AGE~RACE,2019,2019,SC,South Carolina,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-81.04537120699968, 33.998821303000454]}",C06,TCC03,Q41,45,AGE,65PLUS,RACE,NAA,,,,
BRFSS~2019~2022~50~Q30~TCC01~AGE~SEX,2019,2022,VT,Vermont,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Male,"{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC01,Q30,50,AGE,65PLUS,SEX,MALE,12.0,12.0,9.7,14.8
BRFSS~2019~2022~59~Q42~TCC04~AGE~RACE,2019,2022,US,"United States, DC & Territories",BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,#,Fewer than 50 States reporting,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,C06,TCC04,Q42,59,AGE,5064,RACE,ASN,13.0,13.0,6.5,24.3
BRFSS~2019~2022~9003~Q31~TCC02~AGE~RACE,2019,2022,SOU,South,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,C06,TCC02,Q31,9003,AGE,65PLUS,RACE,BLK,46.5,46.5,39.7,53.5
BRFSS~2019~2022~45~Q41~TCC03~AGE~SEX,2019,2022,SC,South Carolina,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Female,"{'type': 'Point', 'coordinates': [-81.04537120699968, 33.998821303000454]}",C06,TCC03,Q41,45,AGE,65PLUS,SEX,FEMALE,26.7,26.7,19.5,35.4
BRFSS~2019~2022~59~Q41~TCC03~AGE~SEX,2019,2022,US,"United States, DC & Territories",BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,#,Fewer than 50 States reporting,Age Group,50-64 years,Sex,Female,,C06,TCC03,Q41,59,AGE,5064,SEX,FEMALE,40.2,40.2,37.4,43.0
BRFSS~2019~2022~49~Q30~TCC01~AGE~RACE,2019,2022,UT,Utah,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,~,No Data Available,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-111.58713063499971, 39.360700171000474]}",C06,TCC01,Q30,49,AGE,65PLUS,RACE,BLK,,,,
BRFSS~2019~2022~42~Q31~TCC02~AGE~RACE,2019,2022,PA,Pennsylvania,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-77.86070029399963, 40.79373015200048]}",C06,TCC02,Q31,42,AGE,AGE_OVERALL,RACE,BLK,,,,
BRFSS~2019~2022~51~Q41~TCC03~AGE~RACE,2019,2022,VA,Virginia,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC03,Q41,51,AGE,5064,RACE,NAA,,,,
BRFSS~2019~2022~59~Q30~TCC01~AGE~RACE,2019,2022,US,"United States, DC & Territories",BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,#,Fewer than 50 States reporting,Age Group,65 years or older,Race/Ethnicity,Hispanic,,C06,TCC01,Q30,59,AGE,65PLUS,RACE,HIS,12.8,12.8,10.8,15.1
BRFSS~2019~2022~53~Q31~TCC02~AGE~RACE,2019,2022,WA,Washington,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,Overall,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-120.47001078999972, 47.52227862900048]}",C06,TCC02,Q31,53,AGE,AGE_OVERALL,RACE,HIS,,,,
BRFSS~2019~2019~9003~Q30~TCC01~AGE~RACE,2019,2019,SOU,South,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,,C06,TCC01,Q30,9003,AGE,65PLUS,RACE,ASN,7.5,7.5,3.7,14.6
BRFSS~2019~2022~42~Q42~TCC04~AGE~SEX,2019,2022,PA,Pennsylvania,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,Overall,Sex,Male,"{'type': 'Point', 'coordinates': [-77.86070029399963, 40.79373015200048]}",C06,TCC04,Q42,42,AGE,AGE_OVERALL,SEX,MALE,40.7,40.7,31.6,50.5
BRFSS~2019~2022~47~Q31~TCC02~AGE~OVERALL,2019,2022,TN,Tennessee,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,Overall,,,"{'type': 'Point', 'coordinates': [-85.77449091399967, 35.68094058000048]}",C06,TCC02,Q31,47,AGE,AGE_OVERALL,OVERALL,OVERALL,48.9,48.9,44.1,53.7
BRFSS~2019~2019~9003~Q42~TCC04~AGE~RACE,2019,2019,SOU,South,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,50-64 years,Race/Ethnicity,Hispanic,,C06,TCC04,Q42,9003,AGE,5064,RACE,HIS,43.1,43.1,29.4,58.0
BRFSS~2019~2019~51~Q31~TCC02~AGE~SEX,2019,2019,VA,Virginia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Female,"{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC02,Q31,51,AGE,65PLUS,SEX,FEMALE,24.8,24.8,17.1,34.6
BRFSS~2019~2019~9003~Q31~TCC02~AGE~RACE,2019,2019,SOU,South,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,C06,TCC02,Q31,9003,AGE,5064,RACE,ASN,24.0,24.0,8.3,52.6
BRFSS~2019~2019~44~Q30~TCC01~AGE~RACE,2019,2019,RI,Rhode Island,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-71.52247031399963, 41.70828019300046]}",C06,TCC01,Q30,44,AGE,65PLUS,RACE,NAA,,,,
BRFSS~2019~2019~48~Q42~TCC04~AGE~RACE,2019,2019,TX,Texas,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,~,No Data Available,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-99.42677020599967, 31.827240407000488]}",C06,TCC04,Q42,48,AGE,5064,RACE,NAA,,,,
BRFSS~2019~2019~49~Q41~TCC03~AGE~RACE,2019,2019,UT,Utah,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-111.58713063499971, 39.360700171000474]}",C06,TCC03,Q41,49,AGE,5064,RACE,WHT,34.6,34.6,25.1,45.5
BRFSS~2019~2019~48~Q31~TCC02~AGE~SEX,2019,2019,TX,Texas,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,50-64 years,Sex,Male,"{'type': 'Point', 'coordinates': [-99.42677020599967, 31.827240407000488]}",C06,TCC02,Q31,48,AGE,5064,SEX,MALE,55.6,55.6,41.8,68.5
BRFSS~2019~2022~9003~Q30~TCC01~AGE~RACE,2019,2022,SOU,South,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",,C06,TCC01,Q30,9003,AGE,AGE_OVERALL,RACE,BLK,13.3,13.3,12.1,14.6
BRFSS~2019~2022~49~Q31~TCC02~AGE~RACE,2019,2022,UT,Utah,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,~,No Data Available,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-111.58713063499971, 39.360700171000474]}",C06,TCC02,Q31,49,AGE,5064,RACE,BLK,,,,
BRFSS~2019~2022~72~Q42~TCC04~AGE~SEX,2019,2022,PR,Puerto Rico,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Sex,Female,"{'type': 'Point', 'coordinates': [-66.590149, 18.220833]}",C06,TCC04,Q42,72,AGE,65PLUS,SEX,FEMALE,,,,
BRFSS~2019~2022~51~Q31~TCC02~AGE~RACE,2019,2022,VA,Virginia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,~,No Data Available,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC02,Q31,51,AGE,65PLUS,RACE,NAA,,,,
BRFSS~2019~2019~47~Q30~TCC01~AGE~RACE,2019,2019,TN,Tennessee,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-85.77449091399967, 35.68094058000048]}",C06,TCC01,Q30,47,AGE,5064,RACE,NAA,,,,
BRFSS~2019~2022~45~Q42~TCC04~AGE~OVERALL,2019,2022,SC,South Carolina,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,Overall,,,"{'type': 'Point', 'coordinates': [-81.04537120699968, 33.998821303000454]}",C06,TCC04,Q42,45,AGE,AGE_OVERALL,OVERALL,OVERALL,44.2,44.2,39.1,49.4
BRFSS~2019~2019~49~Q31~TCC02~AGE~RACE,2019,2019,UT,Utah,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,65 years or older,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-111.58713063499971, 39.360700171000474]}",C06,TCC02,Q31,49,AGE,65PLUS,RACE,HIS,,,,
BRFSS~2019~2022~59~Q31~TCC02~AGE~SEX,2019,2022,US,"United States, DC & Territories",BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,#,Fewer than 50 States reporting,Age Group,65 years or older,Sex,Female,,C06,TCC02,Q31,59,AGE,65PLUS,SEX,FEMALE,37.8,37.8,35.4,40.3
BRFSS~2019~2022~47~Q41~TCC03~AGE~RACE,2019,2022,TN,Tennessee,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,~,No Data Available,Age Group,65 years or older,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-85.77449091399967, 35.68094058000048]}",C06,TCC03,Q41,47,AGE,65PLUS,RACE,HIS,,,,
BRFSS~2019~2022~50~Q31~TCC02~AGE~OVERALL,2019,2022,VT,Vermont,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,Overall,,,"{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC02,Q31,50,AGE,AGE_OVERALL,OVERALL,OVERALL,30.1,30.1,24.8,35.9
BRFSS~2019~2022~44~Q42~TCC04~AGE~SEX,2019,2022,RI,Rhode Island,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Male,"{'type': 'Point', 'coordinates': [-71.52247031399963, 41.70828019300046]}",C06,TCC04,Q42,44,AGE,65PLUS,SEX,MALE,52.4,52.4,39.3,65.1
BRFSS~2019~2019~42~Q31~TCC02~AGE~SEX,2019,2019,PA,Pennsylvania,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,Overall,Sex,Female,"{'type': 'Point', 'coordinates': [-77.86070029399963, 40.79373015200048]}",C06,TCC02,Q31,42,AGE,AGE_OVERALL,SEX,FEMALE,31.9,31.9,24.2,40.8
BRFSS~2019~2022~45~Q42~TCC04~AGE~OVERALL,2019,2022,SC,South Carolina,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,65 years or older,,,"{'type': 'Point', 'coordinates': [-81.04537120699968, 33.998821303000454]}",C06,TCC04,Q42,45,AGE,65PLUS,OVERALL,OVERALL,37.9,37.9,31.7,44.5
BRFSS~2019~2022~51~Q42~TCC04~AGE~RACE,2019,2022,VA,Virginia,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC04,Q42,51,AGE,5064,RACE,HIS,,,,
BRFSS~2019~2019~42~Q42~TCC04~AGE~SEX,2019,2019,PA,Pennsylvania,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Female,"{'type': 'Point', 'coordinates': [-77.86070029399963, 40.79373015200048]}",C06,TCC04,Q42,42,AGE,65PLUS,SEX,FEMALE,49.5,49.5,36.2,63.0
BRFSS~2019~2019~47~Q31~TCC02~AGE~RACE,2019,2019,TN,Tennessee,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,Overall,Race/Ethnicity,Hispanic,"{'type': 'Point', 'coordinates': [-85.77449091399967, 35.68094058000048]}",C06,TCC02,Q31,47,AGE,AGE_OVERALL,RACE,HIS,,,,
BRFSS~2019~2022~51~Q30~TCC01~AGE~RACE,2019,2022,VA,Virginia,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC01,Q30,51,AGE,5064,RACE,NAA,,,,
BRFSS~2019~2019~59~Q41~TCC03~AGE~RACE,2019,2019,US,"United States, DC & Territories",BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,#,Fewer than 50 States reporting,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,C06,TCC03,Q41,59,AGE,AGE_OVERALL,RACE,ASN,31.5,31.5,15.6,53.3
BRFSS~2019~2019~48~Q31~TCC02~AGE~RACE,2019,2019,TX,Texas,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-99.42677020599967, 31.827240407000488]}",C06,TCC02,Q31,48,AGE,AGE_OVERALL,RACE,BLK,70.0,70.0,50.1,84.5
BRFSS~2019~2019~51~Q41~TCC03~AGE~RACE,2019,2019,VA,Virginia,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC03,Q41,51,AGE,AGE_OVERALL,RACE,BLK,51.5,51.5,38.6,64.2
BRFSS~2019~2019~59~Q42~TCC04~AGE~OVERALL,2019,2019,US,"United States, DC & Territories",BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,#,Fewer than 50 States reporting,Age Group,Overall,,,,C06,TCC04,Q42,59,AGE,AGE_OVERALL,OVERALL,OVERALL,46.2,46.2,44.7,47.8
