rowid,yearstart,yearend,locationabbr,locationdesc,datasource,class,topic,question,data_value_unit,datavaluetypeid,data_value_type,data_value_footnote_symbol,data_value_footnote,stratificationcategory1,stratification1,stratificationcategory2,stratification2,geolocation,classid,topicid,questionid,locationid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,data_value,data_value_alt,low_confidence_limit,high_confidence_limit
BRFSS~2022~2022~51~Q31~TCC02~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC02,Q31,51,AGE,65PLUS,RACE,WHT,19.7,19.7,15.1,25.4
BRFSS~2022~2022~50~Q31~TCC02~AGE~OVERALL,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,50-64 years,,,"{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC02,Q31,50,AGE,5064,OVERALL,OVERALL,41.8,41.8,33.1,50.9
BRFSS~2022~2022~9004~Q41~TCC03~AGE~RACE,2022,2022,WEST,West,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",,C06,TCC03,Q41,9004,AGE,AGE_OVERALL,RACE,WHT,25.8,25.8,21.1,31.1
BRFSS~2022~2022~50~Q41~TCC03~AGE~SEX,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,Overall,Sex,Male,"{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC03,Q41,50,AGE,AGE_OVERALL,SEX,MALE,21.0,21.0,15.2,28.3
BRFSS~2022~2022~9004~Q41~TCC03~AGE~SEX,2022,2022,WEST,West,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,65 years or older,Sex,Male,,C06,TCC03,Q41,9004,AGE,65PLUS,SEX,MALE,24.0,24.0,15.4,35.3
BRFSS~2022~2022~50~Q41~TCC03~AGE~SEX,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,50-64 years,Sex,Female,"{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC03,Q41,50,AGE,5064,SEX,FEMALE,24.7,24.7,16.2,35.9
BRFSS~2022~2022~9004~Q41~TCC03~AGE~RACE,2022,2022,WEST,West,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,C06,TCC03,Q41,9004,AGE,65PLUS,RACE,WHT,21.7,21.7,16.1,28.6
BRFSS~2022~2022~50~Q31~TCC02~AGE~SEX,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Female,"{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC02,Q31,50,AGE,65PLUS,SEX,FEMALE,27.2,27.2,17.9,39.1
BRFSS~2022~2022~50~Q42~TCC04~AGE~SEX,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,65 years or older,Sex,Male,"{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC04,Q42,50,AGE,65PLUS,SEX,MALE,41.8,41.8,31.7,52.7
BRFSS~2022~2022~51~Q42~TCC04~AGE~SEX,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,50-64 years,Sex,Male,"{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC04,Q42,51,AGE,5064,SEX,MALE,39.1,39.1,24.5,55.9
BRFSS~2022~2022~51~Q30~TCC01~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC01,Q30,51,AGE,5064,RACE,WHT,9.5,9.5,7.6,11.7
BRFSS~2022~2022~9004~Q31~TCC02~AGE~SEX,2022,2022,WEST,West,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,Overall,Sex,Female,,C06,TCC02,Q31,9004,AGE,AGE_OVERALL,SEX,FEMALE,38.7,38.7,31.5,46.4
BRFSS~2022~2022~51~Q42~TCC04~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC04,Q42,51,AGE,5064,RACE,BLK,,,,
