Year,State_Code,State,Category,Topic,Question,Measure_Type,Unit,Value,CI_Low,CI_High,Stratification_Category,Stratification,Stratification_Category2,Stratification2,Question_Short
2022,VA,Virginia,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,7.9,4.9,12.4,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2022,VA,Virginia,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,28.4,19.6,39.2,Age Group,50-64 years,Sex,Female,Percentage of older adults who reported that as a result of subjective cognitive...
2022,WI,Wisconsin,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,19.8,11.2,32.4,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2022,VT,Vermont,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,Percentage,%,47.7,34.6,61.1,Age Group,50-64 years,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,VA,Virginia,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,Percentage,%,52.8,43.6,61.9,Age Group,65 years or older,Sex,Female,Percentage of older adults with subjective cognitive decline or memory loss who ...
2022,VT,Vermont,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,12.0,9.7,14.8,Age Group,65 years or older,Sex,Male,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,WI,Wisconsin,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,10.4,9.1,11.8,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2022,VA,Virginia,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,9.9,8.8,11.1,Age Group,Overall,,,Percentage of older adults who reported subjective cognitive decline or memory l...
2022,VA,Virginia,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,Percentage,%,7.8,5.5,11.0,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",Percentage of older adults who reported subjective cognitive decline or memory l...
2022,VT,Vermont,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,Percentage,%,13.5,8.2,21.5,Age Group,65 years or older,Sex,Male,Percentage of older adults who reported that as a result of subjective cognitive...
